interaction_id,user_id,user_type,place_id,place_name,source,split,pref_quiet,pref_light,pref_low_crowd,pref_privacy,pref_outlet,pref_distance,pref_thermal_air,pref_control,pref_comfort,pref_deepwork,general_place_type,general_task_type,general_social_mode,general_stay_duration,general_time_slot,general_distraction_noise,general_distraction_crowd,general_distraction_visual,general_distraction_temperature,general_distraction_outlet,general_distraction_distance,general_priority_quiet,general_priority_outlet,general_priority_distance,general_priority_comfort,general_priority_privacy,place_type,task_type,group_size,stay_duration,time_slot,day_type,distance_minutes,weather,indoor_outdoor,visit_frequency,place_quiet,place_light,place_low_crowd,place_low_visual_distraction,place_control,place_comfort,place_outlet,place_task_fit,place_temperature_air,place_seat_availability,quiet_match,light_match,crowd_match,privacy_match,outlet_match,thermal_air_match,control_match,comfort_match,deepwork_task_match,distance_penalty,task_place_fit_match,time_match,satisfaction_score,noise_mean_db,noise_std_db,noise_max_db,noise_p90_db,noise_spike_count,quiet_ratio,light_mean_lux,light_std_lux,light_min_lux,light_max_lux,light_range_lux,too_dark_ratio,too_bright_ratio,vibration_mean,vibration_std,vibration_max,vibration_p95,vibration_spike_count,stillness_ratio,measurement_duration_sec,sample_count,valid_sample_ratio,phone_movement_ratio,noise_level_norm,light_deviation_norm,vibration_level_norm,pref_quiet_x_noise,pref_quiet_x_noise_p90,pref_light_x_light_deviation,pref_comfort_x_vibration,pref_comfort_x_vibration_spike,sensor_quality_score,sensor_environment_score,sensor_penalty_total,sensor_adjustment,satisfaction_score_sensor_v2
I0001,U001,balanced,P061,home_07,synthetic,train,4,4,4,3,5,4,4,3,3,4,study_room,coding,mostly_solo,under_1h,afternoon,1,1,0,1,1,1,1,1,1,0,0,home,report_writing,solo,2_4h,evening,weekday,17.2,cloudy,indoor,sometimes,4,4,4,4,4,4,4,5,4,5,16,16,16,12,20,16,12,12,3.4,8.6,20,0.5,73.6,30.0,3.04,46.29,33.8,0,0.946,504.3,106.4,434.3,605.5,171.2,0.083,0.085,0.042,0.0259,0.107,0.0774,4,0.634,1275,1110,0.871,0.227,0.0,0.609,0.878,0.0,0.0,2.436,2.634,6.0,84.67,85.34,2.93,-0.84,72.8
I0002,U001,balanced,P007,library_07,synthetic,train,4,4,4,3,5,4,4,3,3,4,study_room,coding,mostly_solo,under_1h,afternoon,1,1,0,1,1,1,1,1,1,0,0,library,report_writing,solo,over_4h,late_night,weekend,12.7,clear,indoor,first_time,5,4,3,4,3,3,4,5,4,4,20,16,12,12,20,16,9,9,3.4,6.3,20,0.0,67.4,30.0,3.63,47.36,35.83,0,0.956,496.7,90.8,433.1,591.8,158.8,0.026,0.141,0.0627,0.0328,0.1991,0.102,4,0.339,1358,1294,0.953,0.034,0.0,0.59,1.333,0.0,0.367,2.358,4.0,6.0,96.54,87.08,2.26,1.52,68.9
I0003,U001,balanced,P046,cafe_10,synthetic,train,4,4,4,3,5,4,4,3,3,4,study_room,coding,mostly_solo,under_1h,afternoon,1,1,0,1,1,1,1,1,1,0,0,cafe,light_reading,solo,under_1h,late_night,weekday,11.0,clear,indoor,often,3,4,2,3,2,4,3,4,3,3,12,16,8,9,15,12,6,12,1.8,5.5,12,0.0,55.0,39.35,7.02,58.23,48.17,2,0.854,458.3,322.6,210.3,733.0,522.7,0.168,0.109,0.0975,0.0731,0.2889,0.2147,9,0.047,1204,1134,0.942,0.07,1.211,1.389,3.42,4.845,5.855,5.556,10.261,13.5,94.42,61.54,6.92,-5.64,49.4
I0004,U001,balanced,P106,dorm_lounge_10,synthetic,train,4,4,4,3,5,4,4,3,3,4,study_room,coding,mostly_solo,under_1h,afternoon,1,1,0,1,1,1,1,1,1,0,0,dorm_lounge,light_reading,3_4,1_2h,evening,weekday,8.2,clear,indoor,often,3,3,2,3,3,4,3,3,3,3,12,12,8,9,15,12,9,12,1.8,4.1,9,0.5,51.8,45.85,7.13,60.01,54.36,5,0.489,583.3,229.2,365.6,937.6,572.0,0.0,0.147,0.0916,0.0423,0.2915,0.1756,7,0.01,1449,1369,0.945,0.064,1.948,0.755,2.696,7.793,8.607,3.022,8.088,10.5,95.44,62.85,6.83,-3.76,48.0
I0005,U001,balanced,P025,study_room_07,synthetic,train,4,4,4,3,5,4,4,3,3,4,study_room,coding,mostly_solo,under_1h,afternoon,1,1,0,1,1,1,1,1,1,0,0,study_room,team_project,5_plus,over_4h,afternoon,weekday,4.9,hot,indoor,often,4,4,3,4,4,4,4,5,4,3,16,16,12,12,20,16,12,12,1.0,2.4,15,1.0,73.9,38.36,5.41,49.24,42.23,0,0.857,705.0,209.9,423.1,1079.1,656.1,0.042,0.293,0.0592,0.02,0.138,0.0822,1,0.424,1632,1572,0.963,0.025,0.503,1.334,0.966,2.013,3.212,5.336,2.899,1.5,98.45,84.75,2.95,1.46,75.4
I0006,U001,balanced,P010,library_10,synthetic,train,4,4,4,3,5,4,4,3,3,4,study_room,coding,mostly_solo,under_1h,afternoon,1,1,0,1,1,1,1,1,1,0,0,library,report_writing,solo,2_4h,afternoon,weekday,8.0,hot,indoor,sometimes,5,5,4,4,3,4,4,5,4,5,20,20,16,12,20,16,9,12,3.4,4.0,20,1.0,71.0,30.0,4.84,50.33,37.8,4,0.904,465.8,79.7,352.9,570.7,217.8,0.085,0.097,0.0393,0.0056,0.1396,0.0429,0,0.733,1019,901,0.884,0.201,0.0,0.732,0.24,0.0,1.245,2.929,0.719,0.0,85.84,88.7,2.48,2.07,73.1
I0007,U001,balanced,P034,study_room_16,synthetic,train,4,4,4,3,5,4,4,3,3,4,study_room,coding,mostly_solo,under_1h,afternoon,1,1,0,1,1,1,1,1,1,0,0,study_room,light_reading,solo,2_4h,evening,weekday,10.1,cloudy,indoor,sometimes,4,4,4,4,4,3,4,4,5,3,16,16,16,12,20,20,12,9,1.8,5.0,12,0.5,72.7,30.0,3.6,41.77,33.36,0,0.98,350.5,61.9,259.8,477.0,217.2,0.234,0.024,0.0461,0.0329,0.235,0.0952,4,0.524,1727,1624,0.94,0.071,0.0,1.399,1.208,0.0,0.0,5.596,3.625,6.0,95.54,82.29,3.28,-1.09,71.6
I0008,U001,balanced,P067,classroom_05,synthetic,train,4,4,4,3,5,4,4,3,3,4,study_room,coding,mostly_solo,under_1h,afternoon,1,1,0,1,1,1,1,1,1,0,0,classroom,coding,solo,2_4h,afternoon,weekday,4.7,rainy,indoor,often,3,4,3,3,3,2,3,4,3,3,12,16,12,9,15,12,9,6,3.6,2.4,16,1.0,63.4,39.27,6.08,47.16,43.74,2,0.817,386.8,19.5,357.1,432.2,75.2,0.215,0.098,0.0852,0.0574,0.3177,0.1916,7,0.059,1375,1287,0.936,0.077,0.683,1.178,2.993,2.731,3.882,4.713,8.979,10.5,94.18,69.92,5.37,-1.95,61.5
I0009,U001,balanced,P010,library_10,synthetic,train,4,4,4,3,5,4,4,3,3,4,study_room,coding,mostly_solo,under_1h,afternoon,1,1,0,1,1,1,1,1,1,0,0,library,coding,2,over_4h,afternoon,weekday,11.1,cloudy,indoor,sometimes,5,5,4,4,3,4,4,3,4,5,20,20,16,12,20,16,9,12,3.6,5.6,12,1.0,58.7,30.0,1.56,36.79,32.0,0,0.98,595.4,31.8,562.3,624.8,62.5,0.017,0.176,0.0473,0.0249,0.1813,0.0772,1,0.504,1744,1615,0.926,0.109,0.0,0.463,0.875,0.0,0.0,1.852,2.625,1.5,93.48,92.68,1.32,-1.06,57.6
I0010,U001,balanced,P037,cafe_01,synthetic,train,4,4,4,3,5,4,4,3,3,4,study_room,coding,mostly_solo,under_1h,afternoon,1,1,0,1,1,1,1,1,1,0,0,cafe,deep_study,solo,1_2h,early_morning,weekday,12.8,clear,indoor,sometimes,3,4,2,2,2,4,3,2,4,4,12,16,8,6,15,16,6,12,4.0,6.4,8,0.0,46.6,43.85,5.46,57.2,50.64,1,0.674,455.2,343.4,54.2,863.8,809.6,0.115,0.154,0.0816,0.0695,0.3321,0.1893,7,0.077,1250,1167,0.934,0.083,1.505,1.417,2.95,6.021,6.953,5.667,8.849,10.5,93.51,63.7,6.64,-5.38,41.2
